,Team Name,Year,Games Played,Minutes,Wins,Loss,Win Percentage,Loss Percentage,Points,Three Pointers,Two Pointers,Second Chance Points,Counter Attack Points,Free Throws,Blocks,Blocked Attempts,Personal Fouls,Flagrant Fouls,Team Technical Fouls,Team Fouls,Total Fouls,Total Rebounds,Rebounds,Assists,Turnovers,Assists Turnover Ratio,Steals
75,Miami Heat,2015,82,20790.0,48,34,58.54,41.46,8204,498,2652,1095,867,1406,531,337,1502,3,0,5,1507,4258,3618,1709,1155,1.48,553
76,Milwaukee Bucks,2015,82,20310.0,33,49,40.24,59.76,8122,440,2705,1017,1106,1392,475,462,1695,7,1,2,1697,4040,3417,1895,1247,1.52,672
77,Minnesota Timberwolves,2015,82,20120.0,29,53,35.37,64.63,8398,455,2640,1080,1108,1753,375,427,1696,6,1,8,1704,4041,3408,1916,1231,1.56,656
78,New Orleans Pelicans,2015,82,20260.0,30,52,36.59,63.41,8423,702,2451,967,987,1415,342,423,1713,3,2,10,1723,4127,3494,1818,1102,1.65,633
79,New York Knicks,2015,82,20045.0,32,50,39.02,60.98,8065,610,2412,1070,668,1411,466,343,1616,6,3,10,1626,4281,3638,1682,1099,1.53,467
80,Oklahoma City Thunder,2015,82,20310.0,55,27,67.07,32.93,9038,678,2694,1324,1361,1616,487,373,1691,1,1,5,1696,4673,3987,1883,1305,1.44,603
81,Orlando Magic,2015,82,20145.0,35,47,42.68,57.32,8369,636,2606,1051,994,1249,417,448,1701,2,0,4,1705,4173,3552,1933,1155,1.67,673
82,Philadelphia 76ers,2015,82,21005.0,10,72,12.2,87.8,7988,764,2206,1028,932,1284,495,466,1780,3,0,7,1787,4092,3382,1764,1343,1.31,680
83,Phoenix Suns,2015,82,21145.0,23,59,28.05,71.95,8271,738,2313,1220,1102,1431,313,449,1858,3,1,6,1864,4365,3676,1701,1410,1.21,632
84,Portland Trail Blazers,2015,82,20045.0,44,38,53.66,46.34,8622,864,2303,1167,863,1424,380,424,1782,6,0,4,1786,4405,3730,1748,1200,1.46,562
85,Sacramento Kings,2015,82,20285.0,33,49,40.24,59.76,8740,660,2623,1104,1383,1514,368,437,1676,4,5,13,1689,4377,3628,2009,1326,1.52,733
86,San Antonio Spurs,2015,82,20185.0,67,15,81.71,18.29,8490,570,2719,974,846,1342,485,317,1433,0,1,9,1442,4119,3601,2010,1071,1.88,677
87,Toronto Raptors,2015,82,20500.0,56,26,68.29,31.71,8422,708,2298,1053,865,1702,449,442,1610,4,2,8,1618,4340,3560,1536,1073,1.43,636
88,Utah Jazz,2015,82,20675.0,40,42,48.78,51.22,8010,694,2263,1151,737,1402,425,385,1655,4,0,1,1656,4248,3545,1554,1224,1.27,631
89,Washington Wizards,2015,82,20235.0,41,41,50.0,50.0,8534,709,2529,880,1486,1349,323,356,1708,8,0,1,1709,4161,3431,2005,1186,1.69,708
90,Atlanta Hawks,2016,82,20360.0,43,39,52.44,47.56,8459,729,2394,1105,994,1484,397,425,1491,6,18,24,1515,4405,3635,1938,1293,1.5,672
91,Boston Celtics,2016,82,20475.0,53,29,64.63,35.37,8857,985,2183,916,1012,1536,340,425,1686,8,25,27,1713,4115,3442,2069,1088,1.9,617
92,Brooklyn Nets,2016,82,19755.0,20,62,24.39,75.61,8673,877,2225,945,1148,1592,387,457,1726,2,26,34,1760,4249,3600,1756,1356,1.29,593
93,Charlotte Hornets,2016,82,21055.0,36,46,43.9,56.1,8601,824,2269,983,770,1591,390,450,1360,2,12,23,1383,4214,3574,1891,942,2.01,571
94,Chicago Bulls,2016,82,20020.0,41,41,50.0,50.0,8435,623,2546,1250,1113,1474,393,378,1455,2,18,21,1476,4443,3796,1851,1112,1.66,643
95,Cleveland Cavaliers,2016,82,19880.0,51,31,62.2,37.8,9048,1067,2208,946,1056,1431,327,350,1486,6,11,13,1499,4265,3587,1858,1121,1.66,539
96,Dallas Mavericks,2016,82,20260.0,33,49,40.24,59.76,8029,878,2090,811,632,1215,307,279,1567,7,14,21,1588,3678,3162,1705,970,1.76,614
97,Denver Nuggets,2016,82,20475.0,40,42,48.78,51.22,9161,870,2507,1236,1162,1537,323,404,1567,2,21,28,1595,4496,3803,2077,1226,1.69,568
98,Detroit Pistons,2016,82,19805.0,37,45,45.12,54.88,8309,631,2638,1125,983,1140,310,339,1467,4,28,32,1499,4429,3748,1732,973,1.78,574
99,Golden State Warriors,2016,82,19780.0,67,15,81.71,18.29,9503,982,2550,1031,1851,1457,555,313,1585,9,23,28,1613,4300,3643,2491,1211,2.06,785
100,Houston Rockets,2016,82,19780.0,55,27,67.07,32.93,9458,1181,2124,1172,1370,1667,352,409,1634,4,17,21,1655,4368,3638,2070,1240,1.67,670
101,Indiana Pacers,2016,82,20095.0,42,40,51.22,48.78,8618,709,2512,938,873,1467,409,407,1597,2,20,25,1622,4023,3444,1844,1130,1.63,669
102,Los Angeles Clippers,2016,82,19995.0,51,31,62.2,37.8,8911,841,2401,933,1141,1586,347,258,1626,7,24,30,1656,4242,3528,1848,1062,1.74,612
103,Los Angeles Lakers,2016,82,19705.0,26,56,31.71,68.29,8575,730,2494,1111,1246,1397,320,440,1698,1,20,26,1724,4204,3569,1716,1245,1.38,674
104,Memphis Grizzlies,2016,82,20865.0,43,39,52.44,47.56,8239,767,2217,1076,824,1504,344,409,1840,3,17,26,1866,4227,3507,1744,1059,1.65,653
105,Miami Heat,2016,82,20285.0,41,41,50.0,50.0,8460,808,2394,1114,914,1248,469,398,1680,5,10,17,1697,4313,3577,1742,1102,1.58,588
106,Milwaukee Bucks,2016,82,20020.0,42,40,51.22,48.78,8497,720,2462,909,1130,1413,436,375,1660,2,32,35,1695,3941,3312,1984,1146,1.73,666
107,Minnesota Timberwolves,2016,82,19805.0,31,51,37.8,62.2,8657,601,2634,1211,1050,1586,370,413,1646,5,12,24,1670,4086,3478,1940,1150,1.69,654
108,New Orleans Pelicans,2016,82,20650.0,34,48,41.46,58.54,8556,768,2442,886,1234,1368,453,348,1490,2,17,24,1514,4237,3582,1869,1053,1.77,638
109,New York Knicks,2016,82,20335.0,31,51,37.8,62.2,8556,704,2540,1225,882,1364,455,377,1668,3,23,29,1697,4351,3706,1786,1139,1.57,581
110,Oklahoma City Thunder,2016,82,20045.0,47,35,57.32,42.68,8741,692,2545,1213,1385,1575,408,451,1715,2,12,20,1735,4615,3823,1721,1230,1.4,648
111,Orlando Magic,2016,82,20285.0,29,53,35.37,64.63,8288,701,2438,1021,1152,1309,396,419,1584,3,16,22,1606,4254,3541,1820,1091,1.67,580
112,Philadelphia 76ers,2016,82,20070.0,28,54,34.15,65.85,8400,831,2257,1092,1064,1393,420,446,1793,5,17,21,1814,4208,3513,1949,1368,1.42,692
113,Phoenix Suns,2016,82,20790.0,24,58,29.27,70.73,8831,615,2655,1224,1592,1676,399,435,2030,7,30,35,2065,4397,3688,1603,1265,1.27,673
114,Portland Trail Blazers,2016,82,20650.0,41,41,50.0,50.0,8851,852,2391,1039,949,1513,409,431,1736,2,25,27,1763,4229,3580,1733,1124,1.54,574
115,Sacramento Kings,2016,82,20865.0,32,50,39.02,60.98,8430,737,2368,904,870,1483,324,420,1667,4,9,13,1680,4022,3367,1844,1201,1.54,627
116,San Antonio Spurs,2016,82,19805.0,61,21,74.39,25.61,8637,753,2469,1059,992,1440,484,333,1498,3,10,19,1517,4182,3598,1954,1101,1.77,655
117,Toronto Raptors,2016,82,19780.0,51,31,62.2,37.8,8762,725,2486,1108,992,1615,400,392,1708,8,18,20,1728,4174,3547,1517,1038,1.46,677
118,Utah Jazz,2016,82,20475.0,51,31,62.2,37.8,8258,791,2242,905,667,1401,410,312,1545,2,20,22,1567,4181,3545,1651,1118,1.48,550
119,Washington Wizards,2016,82,19855.0,49,33,59.76,40.24,8953,756,2632,1070,1305,1421,336,377,1745,7,22,27,1772,4152,3514,1956,1160,1.69,693
120,Atlanta Hawks,2017,82,19705.0,24,58,29.27,70.73,8475,917,2213,988,850,1298,348,453,1606,3,37,44,1650,4104,3436,1946,1276,1.53,638
121,Boston Celtics,2017,82,19805.0,55,27,67.07,32.93,8529,939,2202,992,778,1308,373,364,1618,2,17,21,1639,4302,3645,1842,1149,1.6,604
122,Brooklyn Nets,2017,82,19855.0,28,54,34.15,65.85,8741,1041,2095,1021,878,1428,390,450,1688,1,26,30,1718,4277,3644,1941,1245,1.56,512
123,Charlotte Hornets,2017,82,19780.0,36,46,43.9,56.1,8874,824,2373,1079,761,1656,373,404,1409,5,23,28,1437,4468,3728,1770,1041,1.7,559
124,Chicago Bulls,2017,82,19855.0,27,55,32.93,67.07,8440,906,2264,917,966,1194,289,423,1571,5,28,33,1604,4304,3662,1923,1147,1.68,626
125,Cleveland Cavaliers,2017,82,19730.0,50,32,60.98,39.02,9091,981,2330,924,1023,1488,312,340,1524,4,13,14,1538,4078,3455,1916,1126,1.7,582
126,Dallas Mavericks,2017,82,19805.0,24,58,29.27,70.73,8390,967,2161,850,816,1167,310,369,1578,1,19,25,1603,3983,3383,1858,1007,1.85,578
