,Player,Team Name,Position,Year,Games Played,Games Started,Field Goals Made,Minutes,Free Throws,Points,Blocks,Blocked Attempts,Personal Fouls,Assists,Turnovers,Assists Turnover Ratio,Steals,Three Pointers,Two Pointers,Rebounds
2377,Lucas Nogueira,Toronto Raptors,C,2017,49,3,49,418.0,19,122,43,4,49,22,16,1.38,23,5,44,87
2378,DeMar DeRozan,Toronto Raptors,G-F,2017,80,80,645,2712.0,461,1840,22,78,151,417,175,2.38,85,89,556,315
2379,Nigel Hayes,Toronto Raptors,F,2017,2,0,2,6.0,0,6,0,0,0,0,1,0.0,0,2,0,0
2380,Fred VanVleet,Toronto Raptors,G,2017,76,0,232,1520.0,84,656,19,46,130,243,74,3.28,68,108,124,184
2381,Tony Bradley,Utah Jazz,C,2017,9,0,3,29.0,2,8,0,1,1,1,0,0.0,0,0,3,11
2382,Danny Green,San Antonio Spurs,G,2017,70,60,217,1791.0,50,600,80,16,122,110,74,1.49,63,116,101,249
2383,David Stockton,Utah Jazz,G,2017,3,0,2,9.0,4,10,0,0,3,0,1,0.0,0,2,0,0
2384,Alec Burks,Utah Jazz,G,2017,64,1,170,1059.0,107,494,8,24,75,67,60,1.12,37,47,123,192
2385,Josh Jackson,Phoenix Suns,F,2017,77,35,389,1959.0,177,1012,35,82,218,119,146,0.82,80,57,332,351
2386,Jared Dudley,Phoenix Suns,F,2017,48,0,48,686.0,27,152,11,5,85,78,28,2.79,24,29,19,94
2387,Shabazz Muhammad,Milwaukee Bucks,G-F,2017,11,0,37,117.0,17,94,1,3,7,7,1,7.0,4,3,34,31
2388,Marshall Plumlee,Milwaukee Bucks,C,2017,8,0,1,52.0,12,14,1,2,10,2,3,0.67,0,0,1,17
2389,John Henson,Milwaukee Bucks,F-C,2017,76,69,287,1970.0,90,665,109,31,202,114,84,1.36,45,1,286,513
