,Player,Team Name,Position,Year,Games Played,Games Started,Field Goals Made,Minutes,Free Throws,Points,Blocks,Blocked Attempts,Personal Fouls,Assists,Turnovers,Assists Turnover Ratio,Steals,Three Pointers,Two Pointers,Rebounds
1766,Shelvin Mack,Utah Jazz,G,2016,55,9,170,1205.0,53,430,3,19,100,154,90,1.71,42,37,133,125
1767,Brandon Knight,Phoenix Suns,G,2016,54,5,209,1140.0,132,595,5,29,87,130,88,1.48,27,45,164,118
1768,Trey Lyles,Utah Jazz,F,2016,71,4,159,1158.0,57,440,20,16,97,69,64,1.08,26,65,94,235
1769,Sergio Rodriguez,Philadelphia 76ers,G,2016,68,30,210,1517.0,18,530,4,20,95,344,128,2.69,49,92,118,157
1770,Joe Johnson,Utah Jazz,G-F,2016,78,14,273,1843.0,63,715,18,12,93,144,69,2.09,36,106,167,243
1771,Langston Galloway,Sacramento Kings,G,2016,19,2,42,375.0,11,114,1,7,20,28,18,1.56,6,19,23,35
1772,Evan Turner,Portland Trail Blazers,G-F,2016,65,12,235,1659.0,85,586,24,37,121,205,100,2.05,53,31,204,247
1773,CJ McCollum,Portland Trail Blazers,G,2016,80,80,692,2796.0,268,1837,43,76,202,285,172,1.66,72,185,507,289
1774,Jusuf Nurkic,Portland Trail Blazers,C,2016,20,19,120,584.0,64,304,38,12,73,63,62,1.02,25,0,120,207
1775,Ed Davis,Portland Trail Blazers,C-F,2016,46,12,75,789.0,50,200,22,21,137,26,37,0.7,15,0,75,244
1776,Mason Plumlee,Portland Trail Blazers,F-C,2016,54,54,235,1516.0,127,597,63,38,149,214,88,2.43,50,0,235,432
1777,Noah Vonleh,Portland Trail Blazers,F,2016,74,41,130,1265.0,60,327,27,29,154,31,64,0.48,30,7,123,387
1778,Allen Crabbe III,Portland Trail Blazers,G-F,2016,79,7,303,2254.0,105,845,20,16,171,94,62,1.52,54,134,169,226
1779,Al-Farouq Aminu,Portland Trail Blazers,F,2016,61,25,183,1773.0,96,532,44,24,102,99,94,1.05,60,70,113,451
1780,Damian Lillard,Portland Trail Blazers,G,2016,75,75,661,2693.0,488,2024,20,100,152,440,197,2.23,68,214,447,368
1781,Meyers Leonard,Portland Trail Blazers,F-C,2016,74,12,146,1222.0,35,401,28,8,172,71,35,2.03,13,74,72,237
1782,Tim Quarterman,Portland Trail Blazers,G,2016,16,0,13,80.0,0,31,3,3,6,11,11,1.0,2,5,8,14
1783,Dante Exum,Utah Jazz,G,2016,66,26,155,1228.0,58,412,12,29,146,111,80,1.39,21,44,111,132
1784,Pat Connaughton,Portland Trail Blazers,G,2016,39,1,37,316.0,7,98,2,5,23,28,17,1.65,6,17,20,52
1785,Kosta Koufos,Sacramento Kings,C,2016,71,62,216,1419.0,38,470,48,28,172,47,61,0.77,36,0,216,403
1786,Shabazz Napier,Portland Trail Blazers,G,2016,53,2,73,512.0,38,218,2,9,38,67,41,1.63,32,34,39,61
1787,Festus Ezeli,Portland Trail Blazers,C,2016,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0
1788,Rudy Gay,Sacramento Kings,F-G,2016,30,30,201,1013.0,118,562,26,23,79,83,74,1.12,44,42,159,190
1789,Buddy Hield,Sacramento Kings,G,2016,25,18,142,727.0,35,378,2,10,34,44,53,0.83,20,59,83,103
1790,Jordan Farmar,Sacramento Kings,G,2016,2,0,4,35.0,0,12,0,1,1,9,3,3.0,2,4,0,3
1791,Arron Afflalo,Sacramento Kings,G,2016,61,45,185,1580.0,83,515,6,27,104,78,42,1.86,21,62,123,125
1792,Georgios Papagiannis,Sacramento Kings,C,2016,22,0,56,355.0,12,124,17,2,44,20,24,0.83,3,0,56,86
1793,Anthony Tolliver,Sacramento Kings,F,2016,65,9,155,1477.0,61,461,20,16,109,77,56,1.38,34,90,65,237
1794,Ben McLemore,Sacramento Kings,G,2016,61,27,180,1176.0,70,495,6,22,108,51,62,0.82,29,65,115,129
1795,Willie Cauley-Stein,Sacramento Kings,C,2016,75,21,255,1421.0,101,611,44,34,147,80,69,1.16,53,0,255,339
1796,Malachi Richardson,Sacramento Kings,G,2016,22,0,28,198.0,15,79,1,0,23,11,8,1.38,5,8,20,23
1797,Matt Barnes,Sacramento Kings,F,2016,54,13,147,1366.0,50,413,17,19,138,150,83,1.81,36,69,78,293
1798,Jordan Mickey,Boston Celtics,C-F,2016,25,1,15,141.0,8,38,6,6,12,7,9,0.78,3,0,15,34
1799,Marco Belinelli,Charlotte Hornets,G-F,2016,74,0,264,1778.0,150,780,9,11,90,147,70,2.1,44,102,162,178
1800,Elfrid Payton,Orlando Magic,G,2016,82,58,430,2412.0,146,1046,40,100,177,529,178,2.97,88,40,390,387
1801,Damjan Rudez,Orlando Magic,F,2016,45,0,31,314.0,0,82,1,1,31,20,9,2.22,12,20,11,25
1802,Mario Hezonja,Orlando Magic,F-G,2016,65,2,117,960.0,40,317,15,16,74,62,58,1.07,30,43,74,146
1803,Arinze Onuaku,Orlando Magic,F-C,2016,8,0,2,28.0,0,4,1,0,3,2,2,1.0,0,0,2,6
1804,Aaron Gordon,Orlando Magic,F,2016,80,72,393,2298.0,156,1019,40,44,172,150,89,1.69,65,77,316,405
1805,Patricio Garino,Orlando Magic,G,2016,5,0,0,43.0,0,0,0,0,4,0,3,0.0,0,0,0,7
1806,Serge Ibaka,Orlando Magic,C-F,2016,56,56,343,1710.0,77,846,91,24,139,60,66,0.91,34,83,260,382
1807,Nikola Vucevic,Orlando Magic,C,2016,75,55,483,2163.0,107,1096,74,34,180,208,117,1.78,76,23,460,779
1808,CJ Wilcox,Orlando Magic,G,2016,22,0,8,108.0,2,21,1,0,8,12,6,2.0,2,3,5,12
1809,Lance Stephenson,Minnesota Timberwolves,G,2016,6,0,10,67.0,1,21,0,0,2,5,4,1.25,0,0,10,10
1810,Danuel House Jr.,Washington Wizards,F-G,2016,1,0,0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,1
1811,Markieff Morris,Washington Wizards,F,2016,76,76,406,2374.0,180,1063,42,46,254,126,129,0.98,82,71,335,493
1812,Trey Burke,Washington Wizards,G,2016,57,0,116,703.0,22,285,5,9,54,100,48,2.08,11,31,85,47
1813,John Wall,Washington Wizards,G,2016,78,78,647,2836.0,422,1805,49,86,151,831,322,2.58,157,89,558,326
1814,Otto Porter Jr.,Washington Wizards,F,2016,80,80,414,2605.0,99,1075,42,12,193,121,44,2.75,116,148,266,514
1815,Jason Smith,Washington Wizards,F-C,2016,74,3,174,1067.0,35,420,54,15,168,37,58,0.64,21,37,137,258
1816,Cole Aldrich,Minnesota Timberwolves,C,2016,62,0,45,531.0,15,105,23,7,85,25,17,1.47,25,0,45,158
1817,C.J. Watson,Orlando Magic,G,2016,62,9,96,1012.0,57,281,2,10,84,114,47,2.43,43,32,64,89
1818,Bismack Biyombo,Orlando Magic,C,2016,81,27,179,1793.0,125,483,90,44,202,74,95,0.78,25,0,179,567
1819,D.J. Augustin,Orlando Magic,G,2016,78,20,195,1538.0,131,616,1,35,101,209,90,2.32,31,95,100,117
1820,Kevin Durant,Golden State Warriors,F,2016,62,62,551,2070.0,336,1555,99,27,117,300,138,2.17,66,117,434,513
1821,Draymond Green,Golden State Warriors,F,2016,76,76,272,2471.0,151,776,106,41,217,533,184,2.9,154,81,191,599
1822,Shaun Livingston,Golden State Warriors,G,2016,76,3,173,1345.0,42,389,20,10,120,139,62,2.24,38,1,172,151
1823,Stephen Curry,Golden State Warriors,G,2016,79,79,675,2639.0,325,1999,17,55,183,524,239,2.19,142,324,351,353
1824,Ian Clark,Golden State Warriors,G,2016,77,0,211,1137.0,44,527,8,24,77,90,55,1.64,39,61,150,121
1825,Andre Iguodala,Golden State Warriors,F-G,2016,76,0,219,1998.0,72,574,39,10,97,261,58,4.5,76,64,155,304
1826,Matt Barnes,Golden State Warriors,F,2016,20,5,38,411.0,20,114,9,2,47,45,24,1.88,12,18,20,91
1827,Briante Weber,Golden State Warriors,G,2016,7,0,5,46.0,2,12,1,1,4,5,3,1.67,3,0,5,4
1828,James Michael McAdoo,Golden State Warriors,F,2016,52,2,62,457.0,21,147,29,10,47,18,19,0.95,18,2,60,91
1829,Kevon Looney,Golden State Warriors,F,2016,53,4,56,447.0,21,135,17,14,64,29,17,1.71,15,2,54,124
1830,Anthony Brown,Orlando Magic,F-G,2016,2,0,4,16.0,0,9,0,0,2,2,1,2.0,0,1,3,7
1831,Jodie Meeks,Orlando Magic,G,2016,36,10,103,738.0,65,327,4,12,41,45,36,1.25,34,56,47,77
1832,Stephen Zimmerman,Orlando Magic,C,2016,19,0,10,108.0,3,23,5,7,17,4,3,1.33,2,0,10,35
1833,Marcus Georges-Hunt,Orlando Magic,G-F,2016,5,0,2,48.0,9,14,0,0,5,3,2,1.5,1,1,1,9
1834,Jeff Green,Orlando Magic,F,2016,69,11,220,1534.0,145,638,14,20,103,81,75,1.08,37,53,167,214
1835,Terrence Ross,Orlando Magic,G-F,2016,24,24,115,748.0,23,299,13,8,61,43,35,1.23,34,46,69,68
1836,Evan Fournier,Orlando Magic,G-F,2016,68,66,408,2234.0,223,1167,4,64,180,202,141,1.43,66,128,280,209
1837,Kelly Oubre Jr.,Washington Wizards,F-G,2016,79,5,186,1605.0,75,501,17,35,195,47,50,0.94,58,54,132,261
1838,Bojan Bogdanovic,Washington Wizards,F,2016,26,0,107,601.0,71,330,4,18,47,21,38,0.55,10,45,62,80
1839,Andrew Nicholson,Washington Wizards,F,2016,28,0,30,231.0,7,70,6,3,37,7,11,0.64,11,3,27,34
1840,Daniel Ochefu,Washington Wizards,F,2016,19,0,12,75.0,0,24,0,4,17,3,3,1.0,2,0,12,22
1841,Brice Johnson,Los Angeles Clippers,F,2016,3,0,2,9.0,0,4,1,1,0,1,1,1.0,2,0,2,3
1842,DeAndre Jordan,Los Angeles Clippers,C,2016,81,81,412,2570.0,205,1029,134,22,212,96,115,0.83,51,0,412,1114
1843,Taj Gibson,Oklahoma City Thunder,F,2016,23,16,89,487.0,28,207,15,18,40,13,28,0.46,14,1,88,103
1844,Russell Westbrook,Oklahoma City Thunder,G,2016,81,81,824,2802.0,710,2558,31,91,190,840,438,1.92,132,200,624,864
1845,Doug McDermott,Oklahoma City Thunder,F,2016,22,1,56,430.0,12,145,1,3,22,13,6,2.17,2,21,35,49
1846,Andre Roberson,Oklahoma City Thunder,G-F,2016,79,79,215,2376.0,47,522,79,36,204,79,51,1.55,94,45,170,403
1847,Enes Kanter,Oklahoma City Thunder,C,2016,72,0,402,1533.0,224,1033,38,92,154,67,123,0.54,32,5,397,482
1848,Jerami Grant,Oklahoma City Thunder,F,2016,78,4,146,1490.0,86,421,75,24,144,46,41,1.12,33,43,103,199
1849,Alex Abrines,Oklahoma City Thunder,G-F,2016,68,6,134,1055.0,44,406,8,8,114,40,33,1.21,37,94,40,86
1850,Anthony Morrow,Oklahoma City Thunder,G,2016,40,7,86,627.0,23,230,2,7,40,19,6,3.17,22,35,51,29
1851,Domantas Sabonis,Oklahoma City Thunder,F,2016,81,66,192,1631.0,44,479,32,29,200,82,83,0.99,39,51,141,288
1852,Tyreke Evans,Sacramento Kings,G,2016,14,6,59,314.0,24,163,5,10,19,33,22,1.5,12,21,38,51
1853,Garrett Temple,Sacramento Kings,G-F,2016,65,20,183,1728.0,58,506,28,19,141,168,78,2.15,84,82,101,184
1854,Darren Collison,Sacramento Kings,G,2016,68,63,340,2063.0,147,900,9,36,119,312,114,2.74,67,73,267,152
1855,Omri Casspi,Sacramento Kings,F,2016,22,2,53,397.0,12,129,1,8,23,26,17,1.53,10,11,42,90
1856,DeMarcus Cousins,Sacramento Kings,C,2016,55,55,505,1891.0,423,1528,74,89,203,266,207,1.29,75,95,410,583
1857,Ty Lawson,Sacramento Kings,G,2016,69,25,237,1732.0,173,681,6,53,119,334,129,2.59,74,34,203,179
1858,Blake Griffin,Los Angeles Clippers,F,2016,61,61,479,2076.0,320,1316,22,36,157,300,142,2.11,57,38,441,497
1859,Klay Thompson,Golden State Warriors,G,2016,78,78,644,2649.0,186,1742,40,43,139,160,128,1.25,66,268,376,285
1860,Alan Anderson,Los Angeles Clippers,F-G,2016,30,0,30,308.0,12,86,0,0,35,11,7,1.57,3,14,16,24
1861,Austin Rivers,Los Angeles Clippers,G,2016,74,29,323,2054.0,132,889,10,47,187,204,115,1.77,48,111,212,161
1862,Chris McCullough,Washington Wizards,F,2016,2,0,0,8.0,1,1,0,0,0,0,1,0.0,1,0,0,2
1863,Tomas Satoransky,Washington Wizards,G,2016,57,3,61,719.0,23,154,6,9,60,92,38,2.42,26,9,52,83
1864,Sheldon Mac,Washington Wizards,G-F,2016,30,3,30,287.0,23,90,2,4,17,15,5,3.0,8,7,23,34
1865,Brandon Jennings,Washington Wizards,G,2016,23,2,29,374.0,12,81,0,5,32,108,22,4.91,15,11,18,44
1866,Ian Mahinmi,Washington Wizards,C,2016,31,0,65,555.0,43,173,24,10,90,19,34,0.56,33,0,65,150
1867,Marcus Thornton,Washington Wizards,G,2016,33,1,84,575.0,23,219,3,10,48,41,25,1.64,19,28,56,76
1868,Marcin Gortat,Washington Wizards,C,2016,82,82,390,2556.0,103,883,61,51,213,121,119,1.02,40,0,390,849
1869,Bradley Beal,Washington Wizards,G,2016,77,77,637,2684.0,282,1779,21,60,169,267,156,1.71,83,223,414,240
1870,Marreese Speights,Los Angeles Clippers,F-C,2016,82,2,244,1286.0,120,711,41,24,229,66,69,0.96,23,103,141,373
1871,Brandon Bass,Los Angeles Clippers,F,2016,52,0,107,577.0,77,292,11,16,45,21,29,0.72,14,1,106,129
1872,JJ Redick,Los Angeles Clippers,G,2016,78,78,396,2198.0,180,1173,13,19,125,110,98,1.12,54,201,195,171
1873,Diamond Stone,Los Angeles Clippers,C,2016,7,0,3,24.0,4,10,1,3,5,0,2,0.0,0,0,3,6
1874,Luc Mbah a Moute,Los Angeles Clippers,F,2016,80,76,191,1787.0,59,484,35,31,122,39,46,0.85,81,43,148,170
1875,Chris Paul,Los Angeles Clippers,G,2016,61,61,374,1921.0,232,1104,8,14,146,563,147,3.83,119,124,250,304
1876,Raymond Felton,Los Angeles Clippers,G,2016,80,11,221,1700.0,50,538,22,22,125,191,83,2.3,66,46,175,218
1877,Jamal Crawford,Los Angeles Clippers,G,2016,82,1,359,2157.0,174,1008,14,17,115,213,134,1.59,61,116,243,129
1878,Paul Pierce,Los Angeles Clippers,F,2016,25,7,28,277.0,10,81,5,2,40,10,16,0.63,4,15,13,48
1879,Wesley Johnson,Los Angeles Clippers,F,2016,68,3,73,810.0,11,186,30,4,83,23,18,1.28,29,29,44,181
1880,Zaza Pachulia,Golden State Warriors,C,2016,70,70,164,1267.0,98,426,33,34,166,132,87,1.52,59,0,164,410
1881,Damian Jones,Golden State Warriors,C,2016,10,0,8,85.0,3,19,4,1,15,0,6,0.0,1,0,8,23
1882,JaVale McGee,Golden State Warriors,C-F,2016,77,10,208,739.0,56,472,67,15,109,17,40,0.43,19,0,208,244
1883,Danilo Gallinari,Denver Nuggets,F,2016,63,63,335,2134.0,349,1145,15,27,93,135,82,1.65,40,126,209,325
1884,Jameer Nelson,Denver Nuggets,G,2016,75,40,268,2045.0,45,687,8,22,197,385,128,3.01,54,106,162,192
1885,Jaylen Brown,Boston Celtics,F-G,2016,78,20,192,1341.0,85,515,18,34,142,64,68,0.94,35,46,146,220
1886,Tyler Zeller,Boston Celtics,C,2016,51,5,78,524.0,22,178,21,16,61,42,20,2.1,7,0,78,124
1887,Jae Crowder,Boston Celtics,F,2016,72,72,333,2335.0,176,999,23,12,161,155,80,1.94,73,157,176,415
1888,Terry Rozier,Boston Celtics,G,2016,74,0,151,1263.0,51,410,11,22,69,131,47,2.79,46,57,94,227
1889,Al Horford,Boston Celtics,C-F,2016,68,68,379,2193.0,108,952,86,25,138,337,115,2.93,52,86,293,465
1890,Isaiah Thomas,Boston Celtics,G,2016,76,76,682,2569.0,590,2199,13,114,167,448,210,2.13,70,245,437,205
1891,Amir Johnson,Boston Celtics,C-F,2016,80,77,213,1608.0,67,520,62,28,211,140,77,1.82,51,27,186,366
1892,Avery Bradley,Boston Celtics,G,2016,55,55,359,1835.0,68,894,11,60,141,122,88,1.39,68,108,251,334
1893,Marcus Smart,Boston Celtics,G,2016,79,24,269,2399.0,203,835,34,49,192,364,159,2.29,125,94,175,305
1894,Kelly Olynyk,Boston Celtics,F,2016,75,6,260,1539.0,90,678,29,30,207,148,96,1.54,43,68,192,361
1895,Skal Labissiere,Sacramento Kings,F-C,2016,33,12,117,612.0,52,289,13,16,64,27,37,0.73,16,3,114,162
1896,Jonas Jerebko,Boston Celtics,F,2016,78,6,114,1232.0,26,299,17,17,122,71,39,1.82,25,45,69,272
1897,Demetrius Jackson,Boston Celtics,G,2016,5,0,3,17.0,3,10,0,0,0,3,0,0.0,0,1,2,4
1898,Gerald Green,Boston Celtics,G-F,2016,47,0,95,538.0,33,262,7,11,48,33,25,1.32,9,39,56,84
1899,James Young,Boston Celtics,G-F,2016,29,0,25,220.0,6,68,2,1,15,4,4,1.0,10,12,13,26
1900,Johnny O'Bryant III,Denver Nuggets,F,2016,7,0,7,46.0,4,20,1,0,4,2,3,0.67,0,2,5,11
1901,Jamal Murray,Denver Nuggets,G,2016,82,9,295,1765.0,106,811,24,33,124,170,113,1.5,51,115,180,214
1902,Mike Miller,Denver Nuggets,G-F,2016,20,0,9,151.0,2,28,0,0,9,22,13,1.69,2,8,1,38
1903,Brian Roberts,Charlotte Hornets,G,2016,41,2,46,416.0,33,142,1,10,18,52,26,2.0,9,17,29,39
1904,Treveon Graham,Charlotte Hornets,F,2016,27,1,19,189.0,10,57,1,7,18,6,3,2.0,6,9,10,22
1905,Johnny O'Bryant III,Charlotte Hornets,F,2016,4,0,8,34.0,1,18,0,0,6,4,3,1.33,0,1,7,8
1906,Miles Plumlee,Charlotte Hornets,C,2016,13,0,14,174.0,3,31,4,2,25,3,8,0.38,7,0,14,42
1907,Jeremy Lamb,Charlotte Hornets,G,2016,62,5,226,1143.0,110,603,23,17,98,75,40,1.88,27,41,185,264
1908,Ramon Sessions,Charlotte Hornets,G,2016,50,1,100,811.0,91,312,3,25,43,129,46,2.8,27,21,79,73
1909,Christian Wood,Charlotte Hornets,F,2016,13,0,12,107.0,11,35,6,2,11,2,7,0.29,3,0,12,29
1910,Briante Weber,Charlotte Hornets,G,2016,13,0,20,159.0,9,50,0,1,12,16,5,3.2,9,1,19,22
1911,Kemba Walker,Charlotte Hornets,G,2016,79,79,643,2739.0,304,1830,22,112,119,434,168,2.58,85,240,403,308
1912,Nicolas Batum,Charlotte Hornets,G-F,2016,77,77,393,2617.0,243,1164,29,40,109,456,194,2.35,86,135,258,481
1913,Ray McCallum,Charlotte Hornets,G,2016,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0
1914,Aaron Harrison,Charlotte Hornets,G,2016,5,0,0,17.0,1,1,0,0,2,3,0,0.0,0,0,0,3
1915,Frank Kaminsky,Charlotte Hornets,F-C,2016,75,16,320,1953.0,118,874,34,36,139,162,76,2.13,46,116,204,336
1916,Spencer Hawes,Charlotte Hornets,F-C,2016,35,1,104,627.0,30,254,26,15,61,62,40,1.55,13,16,88,146
1917,Mike Tobey,Charlotte Hornets,C,2016,2,0,1,25.0,0,2,0,1,2,1,1,1.0,0,0,1,3
1918,Marvin Williams,Charlotte Hornets,F,2016,76,76,297,2295.0,131,849,53,34,134,106,60,1.77,58,124,173,500
1919,Cody Zeller,Charlotte Hornets,C,2016,62,58,253,1725.0,133,639,58,55,189,99,65,1.52,62,0,253,405
1920,Michael Kidd-Gilchrist,Charlotte Hornets,F,2016,81,81,295,2349.0,152,743,77,70,187,114,56,2.04,81,1,294,565
1921,Roy Hibbert,Denver Nuggets,C,2016,6,0,2,11.0,0,4,2,0,3,1,1,1.0,0,0,2,2
1922,Roy Hibbert,Charlotte Hornets,C,2016,42,13,78,671.0,61,217,44,12,97,20,31,0.65,8,0,78,150
1923,Gary Harris,Denver Nuggets,G,2016,57,56,320,1782.0,104,851,8,35,92,164,76,2.16,71,107,213,178
1924,Will Barton,Denver Nuggets,G,2016,60,19,295,1705.0,143,820,28,45,110,206,97,2.12,48,87,208,259
1925,Gorgui Dieng,Minnesota Timberwolves,C,2016,82,82,332,2653.0,136,816,95,48,254,158,107,1.48,88,16,316,647
1926,Zach LaVine,Minnesota Timberwolves,G-F,2016,47,47,326,1749.0,117,889,10,38,104,139,85,1.64,41,120,206,160
1927,Omri Casspi,Minnesota Timberwolves,F,2016,13,0,19,222.0,5,45,2,3,24,11,10,1.1,13,2,17,20
1928,Nikola Pekovic,Minnesota Timberwolves,C,2016,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0
1929,Tyus Jones,Minnesota Timberwolves,G,2016,60,0,75,774.0,33,209,5,4,50,156,38,4.11,48,26,49,67
1930,Karl-Anthony Towns,Minnesota Timberwolves,C-F,2016,82,82,802,3030.0,356,2061,103,91,241,220,212,1.04,56,101,701,1007
1931,Nemanja Bjelica,Minnesota Timberwolves,F,2016,65,1,151,1190.0,45,403,20,12,154,79,59,1.34,40,56,95,244
1932,Ricky Rubio,Minnesota Timberwolves,G,2016,75,75,261,2469.0,254,836,10,31,202,682,195,3.5,128,60,201,305
1933,Jordan Hill,Minnesota Timberwolves,F-C,2016,7,0,5,47.0,2,12,0,1,9,0,4,0.0,1,0,5,14
1934,Andrew Wiggins,Minnesota Timberwolves,F,2016,82,82,709,3050.0,412,1933,30,101,183,189,187,1.01,82,103,606,328
1935,Kris Dunn,Minnesota Timberwolves,G,2016,78,7,118,1333.0,36,293,36,18,178,188,89,2.11,78,21,97,166
1936,Brandon Rush,Minnesota Timberwolves,G-F,2016,47,33,70,1030.0,13,197,23,9,42,45,28,1.61,22,44,26,99
1937,John Lucas III,Minnesota Timberwolves,G,2016,5,0,1,11.0,0,2,0,0,0,1,0,0.0,2,0,1,0
1938,Adreian Payne,Minnesota Timberwolves,F,2016,18,0,23,135.0,14,63,7,1,32,7,8,0.88,8,3,20,33
1939,Patrick McCaw,Golden State Warriors,F,2016,71,20,106,1074.0,29,282,15,18,62,77,36,2.14,32,41,65,100
1940,David West,Golden State Warriors,F,2016,68,0,135,854.0,43,316,48,8,105,151,78,1.94,42,3,132,203
1941,Anderson Varejao,Golden State Warriors,C,2016,14,1,5,92.0,8,18,3,0,16,10,8,1.25,3,0,5,27
1942,Steven Adams,Oklahoma City Thunder,C,2016,80,80,374,2389.0,157,905,78,44,195,86,146,0.59,89,0,374,613
1943,Kenneth Faried,Denver Nuggets,F-C,2016,61,34,228,1296.0,131,587,40,41,124,55,59,0.93,43,0,228,462
1944,Ersan Ilyasova,Oklahoma City Thunder,F,2016,3,0,6,62.0,0,15,1,0,5,1,4,0.25,3,3,3,16
1945,Semaj Christon,Oklahoma City Thunder,G,2016,64,1,77,973.0,17,183,7,12,79,130,43,3.02,28,12,65,87
1946,Emmanuel Mudiay,Denver Nuggets,G,2016,55,41,208,1406.0,131,603,13,46,95,217,123,1.76,41,56,152,178
1947,Mason Plumlee,Denver Nuggets,F-C,2016,27,10,99,632.0,47,245,29,13,77,70,46,1.52,19,0,99,173
1948,Jarnell Stokes,Denver Nuggets,F,2016,2,0,1,7.0,1,3,0,0,3,2,0,0.0,1,0,1,2
1949,Jusuf Nurkic,Denver Nuggets,C,2016,45,29,151,807.0,56,358,36,31,88,60,81,0.74,25,0,151,260
1950,Juancho Hernangomez,Denver Nuggets,F,2016,62,9,101,842.0,57,305,12,12,62,29,31,0.94,30,46,55,187
1951,Darrell Arthur,Denver Nuggets,F,2016,41,7,95,639.0,19,262,21,5,76,42,36,1.17,19,53,42,112
1952,Malik Beasley,Denver Nuggets,G,2016,22,1,33,165.0,8,83,0,6,10,11,8,1.38,7,9,24,17
1953,Wilson Chandler,Denver Nuggets,F,2016,71,33,433,2197.0,141,1117,30,36,172,141,114,1.24,51,110,323,460
1954,Alonzo Gee,Denver Nuggets,F,2016,13,0,3,89.0,5,11,1,2,14,6,4,1.5,5,0,3,15
1955,Nikola Jokic,Denver Nuggets,C,2016,73,59,494,2038.0,188,1221,55,50,214,359,171,2.1,61,45,449,718
1956,Kyle Korver,Atlanta Hawks,G-F,2016,32,21,108,894.0,24,305,13,3,47,75,40,1.88,23,65,43,89
1957,Nick Collison,Oklahoma City Thunder,F,2016,20,0,14,128.0,5,33,2,0,17,12,4,3.0,2,0,14,31
1958,Cameron Payne,Oklahoma City Thunder,G,2016,20,0,43,320.0,4,106,4,8,38,40,16,2.5,10,16,27,31
1959,Joffrey Lauvergne,Oklahoma City Thunder,C,2016,50,0,111,739.0,37,286,6,19,71,51,40,1.28,18,27,84,183
1960,Norris Cole,Oklahoma City Thunder,G,2016,13,0,16,125.0,8,43,0,3,18,14,7,2.0,8,3,13,11
1961,Kyle Singler,Oklahoma City Thunder,F,2016,32,2,34,385.0,13,88,5,5,29,9,11,0.82,7,7,27,48
1962,Josh Huestis,Oklahoma City Thunder,F,2016,2,0,6,31.0,0,14,3,0,0,3,0,0.0,0,2,4,9
1963,Victor Oladipo,Oklahoma City Thunder,G,2016,67,67,412,2223.0,116,1067,21,52,155,176,119,1.48,78,127,285,291
1964,Dwight Howard,Atlanta Hawks,C,2016,74,74,388,2199.0,226,1002,92,40,203,104,170,0.61,64,0,388,940
1965,Shabazz Muhammad,Minnesota Timberwolves,G-F,2016,78,1,288,1514.0,147,772,6,49,86,35,56,0.63,22,49,239,220
1966,Ersan Ilyasova,Atlanta Hawks,F,2016,26,12,93,633.0,52,270,8,14,73,43,34,1.26,22,32,61,151
1967,Clint Capela,Houston Rockets,C,2016,65,59,362,1551.0,94,818,79,58,179,63,87,0.72,34,0,362,526
1968,Chinanu Onuaku,Houston Rockets,C,2016,5,1,5,52.0,4,14,1,0,6,3,4,0.75,3,0,5,10
1969,Nene,Houston Rockets,C-F,2016,67,8,245,1198.0,116,609,39,36,163,65,73,0.89,56,3,242,282
1970,K.J. McDaniels,Houston Rockets,F,2016,29,0,31,212.0,9,80,8,6,24,4,10,0.4,7,9,22,30
1971,Eric Gordon Jr.,Houston Rockets,G-F,2016,75,15,412,2323.0,147,1217,41,48,150,188,121,1.55,48,246,166,201
1972,Thabo Sefolosha,Atlanta Hawks,F-G,2016,62,42,174,1596.0,55,444,31,25,97,107,58,1.84,96,41,133,270
1973,Jordan Clarkson,Los Angeles Lakers,G,2016,82,19,477,2397.0,134,1205,8,58,150,213,164,1.3,88,117,360,246
1974,Marcelo Huertas,Los Angeles Lakers,G,2016,23,1,25,237.0,9,63,2,5,16,52,19,2.74,10,4,21,24
1975,Thomas Robinson,Los Angeles Lakers,F,2016,48,1,105,560.0,31,241,9,16,76,31,46,0.67,26,0,105,223
1976,Tyler Ennis,Los Angeles Lakers,G,2016,22,2,65,392.0,19,170,2,11,29,52,21,2.48,19,21,44,26
1977,Julius Randle,Los Angeles Lakers,F-C,2016,74,73,377,2132.0,204,975,37,74,248,264,173,1.53,49,17,360,636
1978,Lou Williams,Los Angeles Lakers,G,2016,58,1,326,1403.0,304,1078,11,41,67,183,120,1.53,65,122,204,132
1979,Ivica Zubac,Los Angeles Lakers,C,2016,38,11,126,609.0,32,284,33,24,66,30,30,1.0,14,0,126,159
1980,Corey Brewer,Los Angeles Lakers,F,2016,24,3,53,358.0,18,129,8,8,29,36,19,1.89,24,5,48,52
1981,Jose Calderon,Los Angeles Lakers,G,2016,24,11,32,292.0,4,80,1,2,22,51,26,1.96,7,12,20,42
1982,Luol Deng,Los Angeles Lakers,F,2016,56,49,164,1486.0,46,425,20,24,61,74,43,1.72,48,51,113,295
1983,Mindaugas Kuzminskas,New York Knicks,F,2016,68,5,158,1016.0,55,425,11,35,79,69,51,1.35,29,54,104,126
